"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr"
"21014030","경주시(안계댐)","36-01-66","129-15-70","한국수자원공사","경상북도 경주시 강동면 안계리 산10",""
"21014040","경주시(신평리)","35-51-31","129-05-06","환경부","경상북도 경주시","건천읍 신평리 1267"
"21014050","포항시(용기리)","36-07-06","129-09-18","환경부","경상북도 포항시","북구 기북면 관천리 593"
"21014060","경주시(옥산리)","35-59-42","129-10-45","환경부","경상북도 경주시","안강읍 옥산리 464-2"
"21014070","경주시(서천교)","35-50-17","129-12-06","환경부","경상북도 경주시","서악동 1491-1 (서천교)"
"21014080","경주시(검단리)","35-55-58","129-12-28","환경부","경상북도 경주시","안강읍 검단리 1468-28"
"21014090","울산시(봉월초교)","35-42-05","129-12-25","환경부","울산광역시 울주군","두동면 봉계리 1030-3 (봉월초교)"
"21014100","경주시(달성교)","36-03-07","129-14-18","환경부","경상북도 경주시","안강읍 노당리 1503 (달성교)"
"21014110","경주시(화산리)","35-55-21","129-17-25","환경부","경상북도 경주시","천북면 화산리 산86-2"
"21014120","경주시(박달리)","35-44-51","129-08-51","환경부","경상북도 경주시","내남면 박달리 2069-2"
"21014130","경주시(덕동)","35-50-36","129-19-17","환경부","경상북도 경주시","덕동 산44-4"
"21014140","경주시(국당리)","35-59-39","129-17-46","환경부","경상북도 경주시","강동면 국당리 산92"
"22014010","울산시(덕현리)","35-36-30","129-02-28","환경부","울산광역시 울주군","상북면 덕현리 1199-1 (가지산터널관리사무소)"
"22014020","울산시(신답교)","35-37-47","129-20-45","환경부","울산광역시 북구","상안동 320-1 (신답교)"
"22014030","울산시(삼동초교)","35-31-25","129-09-31","환경부","울산광역시 울주군","삼동면 하잠리 953-2 (삼동초교)"
"22014040","척과","35-36-44","129-16-43","기타","울산광역시 울주군","범서면 척과리 척과초등학교"
"22014050","경주시(연안리)","35-43-19","129-19-24","환경부","경상북도 경주시","외동읍 연안리 80-7"
"22014054","울산시(사연댐)","35-34-40","129-11-46","한국수자원공사","울산광역시 울주군 범서읍 사연리","산 96-2"
"22014060","울산시(대암댐)","35-32-43","129-10-59","한국수자원공사","울산광역시 울주군 언양읍 구수리",""
