"obs_id","rel_river","opened_at","first_at","last_at"
"20184350","낙동강","2009-10-05","20150714","20240722"
"20184360","낙동강","2011-11-30","20150714","20240722"
"20194020","낙동강","1987-06-01","19870601","20240722"
"20194030","낙동강","1988-01-01","19880101","20240722"
"20194040","낙동강","1988-01-01","19880101","20240722"
"20194050","낙동강","1995-10-01","19951001","20240722"
"20194060","낙동강","1995-10-01","19951001","20240722"
"20194070","낙동강","1998-03-01","19980301","20240722"
"20194075","낙동강","2009-01-01","20090101","20240722"
"20204010","낙동강","1962-11-01","19800625","20240722"
"20204020","낙동강","1988-01-01","19880101","20240722"
"20204030","낙동강","1995-10-01","19960101","20240722"
"20204040","낙동강","1996-10-15","19961015","20240722"
"20204050","낙동강","2000-01-01","20000727","20240722"
"20214010","낙동강","1962-04-01","NULL","NULL"
"20214020","낙동강","1988-01-01","19880101","20240722"
"20214030","낙동강","1962-11-01","19800625","20240722"
"20214040","낙동강","1988-01-01","19880101","20240722"
"20214050","낙동강","1988-01-01","19880101","20240722"
"20214060","낙동강","1996-09-10","20031125","20240722"
"20214090","낙동강","1988-03-01","19980101","20240722"
"20214100","낙동강","2000-06-01","20020319","20240722"
"20214110","낙동강","2000-06-01","20020319","20240722"
"20214120","낙동강","1996-09-10","20031125","20240722"
"20214130","낙동강","1996-09-11","20031125","20240722"
"20214135","낙동강","2004-01-01","20150714","20240722"
"20214140","낙동강","2010-12-21","20150714","20240722"
"20224010","낙동강","1962-11-01","19800625","20240722"
"20224020","낙동강","1965-11-01","NULL","NULL"
"20224030","낙동강","1988-01-01","19880101","20240722"
"20224040","낙동강","1996-06-01","19960601","20240722"
"20224050","낙동강","1996-10-15","19961015","20240722"
"20224060","낙동강","2006-01-25","20060125","20240722"
"21014010","형산강","1962-11-01","19830612","20240722"
"21014020","형산강","1962-01-01","19810610","20240722"
"21014040","형산강","1998-06-01","19980601","20240722"
"21014050","형산강","1998-06-01","19980601","20240722"
"21014060","형산강","1998-06-01","19980601","20240722"
"21014070","형산강","1998-06-01","19980601","20240722"
"21014080","형산강","1998-06-01","19980601","20240722"
"21014090","형산강","1998-06-01","19980601","20240722"
"21014100","형산강","1998-06-01","19980601","20240722"
"21014110","형산강","1998-06-01","19980601","20240722"
"21014120","형산강","1998-06-01","19980601","20240722"
"21014130","형산강","1998-06-01","19980601","20240722"
"21014140","형산강","1998-06-01","19980601","20240722"
"22014010","태화강","1962-04-01","19820603","20240722"
"22014020","태화강","1962-04-01","19760601","20240722"
"22014030","태화강","1962-09-01","19780603","20240722"
"22014040","태화강","1990-01-01","19910403","20081216"
"22014050","태화강","1962-09-01","19800601","20240722"
"22014054","태화강","1965-12-31","20150714","20240722"
"22014060","태화강","1969-12-31","20150714","20240722"
"22014080","태화강","2000-01-01","20000302","20240722"
"22014082","한강","2000-01-01","20150714","20240722"
"22014084","한강","2000-01-01","20150714","20240722"
"22014090","태화강","1962-07-01","20081216","20240722"
"23014010","회야ㆍ수영","1962-09-01","20061107","20240722"
"23014011","회야ㆍ수영","2022-07-01","NULL","NULL"
